,instance,height,time,solution type
ins-1,1,8,0.3821535110473633,optimal
ins-2,2,9,0.7776792049407959,optimal
ins-3,3,10,1.4891035556793213,optimal
ins-4,4,11,2.961496353149414,optimal
ins-5,5,12,4.817605972290039,optimal
ins-6,6,13,7.883746385574341,optimal
ins-7,7,14,9.905001640319824,optimal
ins-8,8,15,16.45239567756653,optimal
ins-9,9,16,20.05941915512085,optimal
ins-10,10,17,36.48114538192749,optimal
ins-11,11,0,300.0,N|A
ins-12,12,19,166.2021279335022,optimal
ins-13,13,20,250.8975026607513,optimal
ins-14,14,0,300.0,N|A
ins-15,15,22,261.5012605190277,optimal
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
ins-21,21,0,300.0,N|A
ins-22,22,0,300.0,N|A
ins-23,23,0,300.0,N|A
ins-24,24,0,300.0,N|A
ins-25,25,0,300.0,N|A
ins-26,26,0,300.0,N|A
ins-27,27,0,300.0,N|A
ins-28,28,0,300.0,N|A
ins-29,29,0,300.0,N|A
ins-30,30,0,300.0,N|A
ins-31,31,0,300.0,N|A
ins-32,32,0,300.0,N|A
ins-33,33,0,300.0,N|A
ins-34,34,0,300.0,N|A
ins-35,35,0,300.0,N|A
ins-36,36,0,300.0,N|A
ins-37,37,0,300.0,N|A
ins-38,38,0,300.0,N|A
ins-39,39,0,300.0,N|A
ins-40,40,0,300.0,N|A
